Macroporosity,Vugs,Count,Sample,Grid,R,P_Area_100,WAv_Lx,Alignment,Alignment2,Eccent,keq_simulation,WAv_ly,Lx_norm,Ly_norm,Perimeter,EquivDiameter,Major,Minor,DifMajorMinor,Av_Area,Std_area,var_Area,Std_Lx,var_Lx
0.18,315,229,aleatory,grid-15,r1,0.173228,2.50369,0.570165,0.242734,0.431441,1.50056,2.42279,0.0250369,0.0484558,0.0610248,99.6947,121.963,88.0779,33.885,0.0756454,3328.32,1.10777e+07,0.00686674,4.71521e-05
0.18,315,172,aleatory,grid-19,r1,0.179398,3.48567,0.416423,0.248174,0.613087,1.57177,4.19179,0.0348567,0.0838359,0.128957,135.611,209.948,120.142,89.8068,0.104301,8687.18,7.54672e+07,0.0123324,0.000152089
0.18,315,315,aleatory,grid-20,r1,0.178633,1.92279,0.532496,0.01,0.125024,1.49831,1.91983,0.0192279,0.0383967,0.0427037,79.8029,80.1799,79.4917,0.688204,0.0567089,23.9408,573.161,0.000242668,5.88879e-08
0.18,315,315,aleatory,grid-30,r1,0.177884,1.92065,0.57078,0.01,0.114092,1.45784,1.91227,0.0192065,0.0382454,0.0425494,79.635,79.9478,79.387,0.560798,0.056471,18.215,331.786,0.000239607,5.74115e-08
0.2,350,254,aleatory,grid-10,r1,0.183351,2.43907,0.533729,0.191775,0.395632,1.52208,2.44642,0.0243907,0.0489284,0.0571102,96.943,116.17,86.2521,29.9174,0.0721854,3143.1,9.87907e+06,0.00607789,3.69407e-05
0.2,350,236,aleatory,grid-15,r1,0.191152,2.69795,0.55279,0.261099,0.458344,1.58855,2.59857,0.0269795,0.0519714,0.0677045,106.103,132.796,93.2826,39.5133,0.0809964,4248.9,1.80532e+07,0.0081594,6.65759e-05
0.2,350,189,aleatory,grid-19,r1,0.199298,3.89284,0.544143,0.349348,0.579353,1.72817,3.71805,0.0389284,0.0743611,0.119756,132.656,200.902,121.299,79.6026,0.105449,7880.55,6.2103e+07,0.0150762,0.000227291
0.2,350,350,aleatory,grid-20,r1,0.19852,1.9248,0.568106,0.01,0.123943,1.60317,1.92159,0.019248,0.0384318,0.0427449,79.8108,80.1759,79.5111,0.664812,0.05672,25.3438,642.307,0.000244836,5.99445e-08
0.2,350,350,aleatory,grid-30,r1,0.19765,1.92008,0.580736,0.01,0.112085,1.52175,1.91017,0.0192008,0.0382034,0.0425296,79.6355,79.9413,79.395,0.546383,0.0564716,18.9418,358.79,0.000245272,6.01585e-08
0.22,385,275,aleatory,grid-10,r1,0.202329,2.53334,0.541268,0.217879,0.404053,1.6235,2.47281,0.0253334,0.0494562,0.0593589,98.6759,117.679,89.0424,28.6366,0.0735741,3446.63,1.18792e+07,0.00675567,4.56391e-05
